measure,age,cdf,pct_developed,ldf,source
Paid Loss,11,6.725885338136269,0.14867931130641282,2.5525,empirical
Paid Loss,23,2.6350187416792434,0.37950394210961874,1.34,empirical
Paid Loss,35,1.9664318967755545,0.5085352824268892,1.145,empirical
Paid Loss,47,1.7174077701096546,0.5822728983787882,1.1,empirical
Paid Loss,59,1.5612797910087768,0.640500188216667,1.125,empirical
Paid Loss,71,1.3878042586744683,0.7205627117437503,1.088,empirical
Paid Loss,83,1.275555384811092,0.7839722303772004,1.029,empirical
Paid Loss,95,1.239606787960245,0.8067074250581392,1.017,empirical
Paid Loss,107,1.2188857305410474,0.8204214512841275,1.045,empirical
Paid Loss,119,1.166397828268945,0.8573404165919132,1.02,empirical
Paid Loss,131,1.1435272826166125,0.8744872249237515,1.021,empirical
Paid Loss,143,1.1200071328272405,0.8928514566471503,1.018,empirical
Paid Loss,155,1.100203470360747,0.908922782866799,1.008,empirical
Paid Loss,167,1.0914716967864555,0.9161941651297333,1.009,empirical
Paid Loss,179,1.0817360721372207,0.9244399126159007,1.017,empirical
Paid Loss,191,1.0636539549038553,0.9401553911303709,1.013,empirical
Paid Loss,203,1.0500039041499065,0.9523774112150657,1.006,empirical
Paid Loss,215,1.043741455417402,0.9580916756823562,1.008,empirical
Paid Loss,227,1.0354577930728195,0.965756409087815,1.003,empirical
Paid Loss,239,1.0323607109399997,0.9686536783150783,1.005,empirical
Paid Loss,251,1.0272245879999997,0.9734969467066537,1.006,empirical
Paid Loss,263,1.0210979999999996,0.9793379283868937,1.007,empirical
Paid Loss,275,1.0139999999999998,0.9861932938856017,1.0139999999999998,fitted
Paid Loss,287,1.0,1.0,,
Incurred Loss,11,3.380816102853386,0.29578657033608147,1.7,empirical
Incurred Loss,23,1.988715354619639,0.5028371695713385,1.22,empirical
Incurred Loss,35,1.6300945529669173,0.6134613468770329,1.125,empirical
Incurred Loss,47,1.4489729359705932,0.690144015236662,1.037,empirical
Incurred Loss,59,1.3972738051789713,0.7156793438004185,1.105,empirical
Incurred Loss,71,1.26450118115744,0.7908256748994625,1.087,empirical
Incurred Loss,83,1.1632945548826497,0.8596275086157157,1.015,empirical
Incurred Loss,95,1.1461030097366007,0.8725219212449513,1.016,empirical
Incurred Loss,107,1.128054143441536,0.8864822719848706,1.05,empirical
Incurred Loss,119,1.0743372794681296,0.9308063855841141,1.002,empirical
Incurred Loss,131,1.072192893680768,0.9326679983552824,1.01,empirical
Incurred Loss,143,1.061577122456206,0.9419946783388351,1.003,empirical
Incurred Loss,155,1.0584019167060879,0.9448206623738515,1.002,empirical
Incurred Loss,167,1.0562893380300278,0.9467103036985993,1.01,empirical
Incurred Loss,179,1.0458310277525027,0.9561774067355854,1.005,empirical
Incurred Loss,191,1.040627888310948,0.9609582937692631,1.009,empirical
Incurred Loss,203,1.031345776324032,0.9696069184131864,1.006,empirical
Incurred Loss,215,1.0251946086719999,0.9754245599236656,1.003,empirical
Incurred Loss,227,1.022128224,0.9783508336034364,1.004,empirical
Incurred Loss,239,1.018056,0.9822642369378501,1.004,empirical
Incurred Loss,251,1.014,0.9861932938856016,1.014,empirical
Incurred Loss,263,1.0,1.0,1.0,empirical
Incurred Loss,275,1.0,1.0,1.0,fitted
Incurred Loss,287,1.0,1.0,,
Reported Count,11,1.119677559,0.8931142648720353,1.118,empirical
Reported Count,23,1.0015005,0.9985017481269356,1.001,empirical
Reported Count,35,1.0005,0.9995002498750625,1.0005,empirical
Reported Count,47,1.0,1.0,1.0,empirical
Reported Count,59,1.0,1.0,1.0,empirical
Reported Count,71,1.0,1.0,1.0,empirical
Reported Count,83,1.0,1.0,1.0,empirical
Reported Count,95,1.0,1.0,1.0,empirical
Reported Count,107,1.0,1.0,1.0,empirical
Reported Count,119,1.0,1.0,1.0,empirical
Reported Count,131,1.0,1.0,1.0,empirical
Reported Count,143,1.0,1.0,1.0,empirical
Reported Count,155,1.0,1.0,1.0,empirical
Reported Count,167,1.0,1.0,1.0,empirical
Reported Count,179,1.0,1.0,1.0,empirical
Reported Count,191,1.0,1.0,1.0,empirical
Reported Count,203,1.0,1.0,1.0,empirical
Reported Count,215,1.0,1.0,1.0,empirical
Reported Count,227,1.0,1.0,1.0,empirical
Reported Count,239,1.0,1.0,1.0,empirical
Reported Count,251,1.0,1.0,1.0,empirical
Reported Count,263,1.0,1.0,1.0,fitted
Reported Count,275,1.0,1.0,1.0,fitted
Reported Count,287,1.0,1.0,,
