measure,starting_age,cutoff_age,method,method_params,tail_factor,n_factors_in_fit,n_ay_contributing,is_monotone_from_here,cv_at_starting_age,slope_sign_changes,min_selected_ldf,max_selected_ldf,avg_selected_ldf,r_squared,loo_std_dev,loo_min,loo_max,gap_to_last_observed,gap_flag,pct_of_cdf,materiality_ok,sensitivity_plus10_reserve_delta,sensitivity_minus10_reserve_delta,sensitivity_plus20_reserve_delta,sensitivity_minus20_reserve_delta,residuals_json
Paid Loss,11,275,bondy,,1.007,22,0,False,0.0019,11,1.0063,1.009,1.0074,,0.0013499999999999623,1.0063,1.009,,False,0.12325128052475595,False,568471.2502831817,-694798.194790557,1042197.2921858281,-1563295.9382787496,
Paid Loss,11,275,modified_bondy_double_dev,,1.0139999999999998,22,0,False,0.0019,11,1.0063,1.009,1.0074,,,,,,False,0.24450367363724906,False,564546.8925396055,-690001.7575484067,1035002.6363226175,-1552503.9544839188,
Paid Loss,11,275,modified_bondy_square_ratio,,1.0140489999999998,22,0,False,0.0019,11,1.0063,1.009,1.0074,,,,,,False,0.245345509960723,False,564519.6129922345,-689968.415879406,1034952.6238190979,-1552428.9357286543,
Paid Loss,11,275,exp_dev_quick,"[0.2140432336831392, 0.8035651046893572]",1.1894311586434991,22,0,False,0.0019,11,1.0063,1.009,1.0074,0.8071956551489008,0.0021954985319093245,1.1813047336239502,1.1916503597572379,1.338456766316861,True,2.7495535502689115,False,481280.942470029,-588232.2630189285,882348.3945283964,-1323522.5917925835,"{""0"": 1.9814437926336739, ""1"": 0.6814646671519542, ""2"": 0.04794986267802814, ""3"": -0.10491662303874705, ""4"": 0.336923998991169, ""5"": 0.20464414688278243, ""6"": -0.6866997668932471, ""7"": -1.002085182107801, ""8"": 0.1900610343220137, ""9"": -0.40217211117860563, ""10"": -0.1346848762934716, ""11"": -0.07013848540501755, ""12"": -0.66237163090564, ""13"": -0.32589152453356185, ""14"": 0.5287943129021473, ""15"": 0.4792273970231742, ""16"": -0.07526542049459284, ""17"": 0.4311137226728947, ""18"": -0.3310184596231611, ""19"": 0.39850423485855213, ""20"": 0.7995228623682351, ""21"": 1.1723706129111848}"
Paid Loss,11,275,exp_dev_quick_exact_last,"[0.2140432336831392, 0.8035651046893572]",1.6117944086562375,22,0,False,0.0019,11,1.0063,1.009,1.0074,0.8071956551489008,0.0021954985319093245,1.1813047336239502,1.1916503597572379,1.338456766316861,True,6.3129710747313315,False,355163.50345974416,-434088.726450786,651133.0896761864,-976699.6345142722,"{""0"": 1.9814437926336739, ""1"": 0.6814646671519542, ""2"": 0.04794986267802814, ""3"": -0.10491662303874705, ""4"": 0.336923998991169, ""5"": 0.20464414688278243, ""6"": -0.6866997668932471, ""7"": -1.002085182107801, ""8"": 0.1900610343220137, ""9"": -0.40217211117860563, ""10"": -0.1346848762934716, ""11"": -0.07013848540501755, ""12"": -0.66237163090564, ""13"": -0.32589152453356185, ""14"": 0.5287943129021473, ""15"": 0.4792273970231742, ""16"": -0.07526542049459284, ""17"": 0.4311137226728947, ""18"": -0.3310184596231611, ""19"": 0.39850423485855213, ""20"": 0.7995228623682351, ""21"": 1.1723706129111848}"
Paid Loss,11,275,exp_dev_product,"[0.2140432336831392, 0.8035651046893572]",1.0088972484766108,22,0,False,0.0019,11,1.0063,1.009,1.0074,0.8071956551489008,0.0021954985319093245,1.1813047336239502,1.1916503597572379,1.338456766316861,True,0.1563104011179415,False,567402.2304050699,-693491.6149395257,1040237.4224092886,-1560356.1336139292,"{""0"": 1.9814437926336739, ""1"": 0.6814646671519542, ""2"": 0.04794986267802814, ""3"": -0.10491662303874705, ""4"": 0.336923998991169, ""5"": 0.20464414688278243, ""6"": -0.6866997668932471, ""7"": -1.002085182107801, ""8"": 0.1900610343220137, ""9"": -0.40217211117860563, ""10"": -0.1346848762934716, ""11"": -0.07013848540501755, ""12"": -0.66237163090564, ""13"": -0.32589152453356185, ""14"": 0.5287943129021473, ""15"": 0.4792273970231742, ""16"": -0.07526542049459284, ""17"": 0.4311137226728947, ""18"": -0.3310184596231611, ""19"": 0.39850423485855213, ""20"": 0.7995228623682351, ""21"": 1.1723706129111848}"
Paid Loss,11,275,mcclenahan,"{""r"": 0.59016633}",1.0000031537750926,22,0,False,0.0019,11,1.0063,1.009,1.0074,,,,,,False,5.598704943614108e-05,True,572448.7436605766,-699659.5755851418,1049489.3633777201,-1574234.0450665727,
Paid Loss,11,275,skurnick,"{""r"": 0.88451713, ""A"": 223109.73604072, ""n"": 21}",2.925113284388321,22,0,False,0.0019,11,1.0063,1.009,1.0074,0.45864765669093843,,,,,False,10.461239674900332,False,195702.00993254036,-239191.34547310323,358787.0182096511,-538180.5273144841,
Incurred Loss,11,275,bondy,,1.0,22,0,False,0.0,12,1.0,1.0,1.0,,0.0,1.0,1.0,,False,,,,,,,
Incurred Loss,11,275,modified_bondy_double_dev,,1.0,22,0,False,0.0,12,1.0,1.0,1.0,,,,,,False,,,,,,,
Incurred Loss,11,275,modified_bondy_square_ratio,,1.0,22,0,False,0.0,12,1.0,1.0,1.0,,,,,,False,,,,,,,
