measure,age,cdf,pct_developed,ldf,source
Paid Loss,11,7.519759746787647,0.1329829720194436,2.5525,empirical
Paid Loss,23,2.946037119211615,0.33943903607962983,1.4435,empirical
Paid Loss,35,2.040898593149716,0.48998024858094563,1.1327,empirical
Paid Loss,47,1.8017997644122148,0.5550006275676371,1.0978,empirical
Paid Loss,59,1.6412823505303467,0.6092796889437522,1.1192,empirical
Paid Loss,71,1.4664781545124612,0.6819058278658474,1.1298,empirical
Paid Loss,83,1.2979980124911146,0.7704172043228344,1.0328,empirical
Paid Loss,95,1.2567757673229227,0.7956868886246233,1.0164,empirical
Paid Loss,107,1.236497213029243,0.8087361535980673,1.0847,empirical
Paid Loss,119,1.139943959647131,0.8772361058078236,1.0083,empirical
Paid Loss,131,1.1305603090817524,0.8845171654860285,1.0189,empirical
Paid Loss,143,1.109589075553786,0.9012345399137144,1.0175,empirical
Paid Loss,155,1.0905052339594947,0.9170061443622045,1.0134,empirical
Paid Loss,167,1.0760856857701744,0.9292940266966581,1.0143,empirical
Paid Loss,179,1.0609146068916242,0.9425829312784202,1.0156,empirical
Paid Loss,191,1.0446185573962428,0.9572872250063637,1.0115,empirical
Paid Loss,203,1.0327420241188756,0.9682960280939369,1.0021,empirical
Paid Loss,215,1.0305778107163712,0.9703294497529341,1.0047,empirical
Paid Loss,227,1.0257567539726997,0.9748899981667728,1.0025,empirical
Paid Loss,239,1.0231987570799999,0.9773272231621896,1.005,empirical
Paid Loss,251,1.018108216,0.9822138592780004,1.006,empirical
Paid Loss,263,1.012036,0.9881071424336685,1.006,fitted
Paid Loss,275,1.006,0.9940357852882704,1.006,fitted
Paid Loss,287,1.0,1.0,,
Incurred Loss,11,3.2395262080559553,0.3086871152680384,1.6456,empirical
Incurred Loss,23,1.9685988138405173,0.507975516885084,1.212,empirical
Incurred Loss,35,1.624256447063133,0.6156663264647217,1.0948,empirical
Incurred Loss,47,1.4836102000942026,0.6740314942135774,1.0367,empirical
Incurred Loss,59,1.431089225517703,0.6987684500512157,1.1027,empirical
Incurred Loss,71,1.2978046844270454,0.7705319698714755,1.087,empirical
Incurred Loss,83,1.193932552370787,0.8375682512502938,1.0065,empirical
Incurred Loss,95,1.1862221086644682,0.8430124448834206,1.0146,empirical
Incurred Loss,107,1.16915248242112,0.8553204265787185,1.0485,empirical
Incurred Loss,119,1.1150715139924845,0.8968034672677864,1.0082,empirical
Incurred Loss,131,1.1060022951720736,0.9041572556993821,1.035,empirical
Incurred Loss,143,1.0686012513739842,0.9358027596488604,1.0022,empirical
Incurred Loss,155,1.0662554892975296,0.937861525720088,1.0004,empirical
Incurred Loss,167,1.0658291576344758,0.9382366703303759,1.0211,empirical
Incurred Loss,179,1.043804874776688,0.9580334640743466,1.0036,empirical
Incurred Loss,191,1.040060656413599,0.9614823845450143,1.0076,empirical
Incurred Loss,203,1.0322158162103998,0.9687896506675565,1.002,empirical
Incurred Loss,215,1.0301555051999998,0.9707272299688917,1.0,empirical
Incurred Loss,227,1.0301555051999998,0.9707272299688917,1.0089,empirical
Incurred Loss,239,1.0210679999999999,0.9793667023156147,1.004,empirical
Incurred Loss,251,1.017,0.9832841691248771,1.017,empirical
Incurred Loss,263,1.0,1.0,1.0,fitted
Incurred Loss,275,1.0,1.0,1.0,fitted
Incurred Loss,287,1.0,1.0,,
Reported Count,11,1.1146470866054081,0.8971449457114188,1.118,empirical
Reported Count,23,0.9970009719189695,1.0030080493053664,1.0,empirical
Reported Count,35,0.9970009719189695,1.0030080493053664,1.0008,empirical
Reported Count,47,0.996204008712,1.0038104557448106,1.0,empirical
Reported Count,59,0.996204008712,1.0038104557448106,0.9992,empirical
Reported Count,71,0.99700161,1.0030074073802149,1.0,empirical
Reported Count,83,0.99700161,1.0030074073802149,0.9993,empirical
Reported Count,95,0.9977,1.0023053021950485,1.0,empirical
Reported Count,107,0.9977,1.0023053021950485,0.9977,empirical
Reported Count,119,1.0,1.0,1.0,empirical
Reported Count,131,1.0,1.0,1.0,empirical
Reported Count,143,1.0,1.0,1.0,empirical
Reported Count,155,1.0,1.0,1.0,empirical
Reported Count,167,1.0,1.0,1.0,empirical
Reported Count,179,1.0,1.0,1.0,empirical
Reported Count,191,1.0,1.0,1.0,empirical
Reported Count,203,1.0,1.0,1.0,empirical
Reported Count,215,1.0,1.0,1.0,empirical
Reported Count,227,1.0,1.0,1.0,empirical
Reported Count,239,1.0,1.0,1.0,empirical
Reported Count,251,1.0,1.0,1.0,empirical
Reported Count,263,1.0,1.0,1.0,fitted
Reported Count,275,1.0,1.0,1.0,fitted
Reported Count,287,1.0,1.0,,
