measure,starting_age,cutoff_age,method,method_params,tail_factor,n_factors_in_fit,n_ay_contributing,is_monotone_from_here,cv_at_starting_age,slope_sign_changes,min_selected_ldf,max_selected_ldf,avg_selected_ldf,r_squared,loo_std_dev,loo_min,loo_max,gap_to_last_observed,gap_flag,pct_of_cdf,materiality_ok,sensitivity_plus10_reserve_delta,sensitivity_minus10_reserve_delta,sensitivity_plus20_reserve_delta,sensitivity_minus20_reserve_delta,residuals_json
Paid Loss,11,263,bondy,,1.006,21,0,False,0.005,11,1.0,1.0096,1.0062,,0.0016091404293614307,1.0046399459460182,1.0083227168993794,,False,0.09266537659723702,True,507976.35321496427,-620859.9872627333,931289.9808941036,-1396934.9713411555,
Paid Loss,11,263,modified_bondy_double_dev,,1.012,21,0,False,0.005,11,1.0,1.0096,1.0062,,,,,,False,0.18406341369383772,False,504964.63570578396,-617178.9991959557,925768.4987939373,-1388652.7481909096,
Paid Loss,11,263,modified_bondy_square_ratio,,1.012036,21,0,False,0.005,11,1.0,1.0096,1.0062,,,,,,False,0.18460802955093858,False,504946.6731759086,-617157.0449927822,925735.5674891695,-1388603.3512337506,
Paid Loss,11,263,exp_dev_quick,"[0.2655526197072681, 0.782246665592301]",1.1709761529195042,21,0,False,0.005,11,1.0,1.0096,1.0062,0.8075458416934739,0.0013407615661619693,1.1666086927439427,1.1728305610052214,1.286947380292732,True,2.220256931588929,False,436408.7262239754,-533388.4431626424,800082.6647439599,-1200123.9971159473,"{""0"": 1.7658088017750524, ""1"": 0.7584699487450278, ""2"": -0.20255175263846903, ""3"": -0.2621329579078826, ""4"": 0.18133037871056912, ""5"": 0.5121075873772836, ""6"": -0.6178735424746336, ""7"": -1.065435564006603, ""8"": 0.8219838618492297, ""9"": -1.255291065978255, ""10"": -0.1867994996872362, ""11"": -0.018175381795381362, ""12"": -0.0395363967400062, ""13"": 0.2710535925969575, ""14"": 0.603650128614567, ""15"": 0.5443114087562577, ""16"": -0.9105131228556038, ""17"": 0.14069720015899634, ""18"": -0.24498941765489235, ""19"": 0.693742921933028, ""20"": 1.12164963775498}"
Paid Loss,11,263,exp_dev_quick_exact_last,"[0.2655526197072681, 0.782246665592301]",1.5248821325313866,21,0,False,0.005,11,1.0,1.0096,1.0062,0.8075458416934739,0.0013407615661619693,1.1666086927439427,1.1728305610052214,1.286947380292732,True,5.080959193540163,False,335123.7452601865,-409595.6886513382,614393.5329770073,-921590.2994655073,"{""0"": 1.7658088017750524, ""1"": 0.7584699487450278, ""2"": -0.20255175263846903, ""3"": -0.2621329579078826, ""4"": 0.18133037871056912, ""5"": 0.5121075873772836, ""6"": -0.6178735424746336, ""7"": -1.065435564006603, ""8"": 0.8219838618492297, ""9"": -1.255291065978255, ""10"": -0.1867994996872362, ""11"": -0.018175381795381362, ""12"": -0.0395363967400062, ""13"": 0.2710535925969575, ""14"": 0.603650128614567, ""15"": 0.5443114087562577, ""16"": -0.9105131228556038, ""17"": 0.14069720015899634, ""18"": -0.24498941765489235, ""19"": 0.693742921933028, ""20"": 1.12164963775498}"
Paid Loss,11,263,exp_dev_product,"[0.2655526197072681, 0.782246665592301]",1.0070382906080755,21,0,False,0.005,11,1.0,1.0096,1.0062,0.8075458416934739,0.0013407615661619693,1.1666086927439427,1.1728305610052214,1.286947380292732,True,0.10857161215038087,False,507452.6123785153,-620219.8595737293,930329.7893605977,-1395494.6840408966,"{""0"": 1.7658088017750524, ""1"": 0.7584699487450278, ""2"": -0.20255175263846903, ""3"": -0.2621329579078826, ""4"": 0.18133037871056912, ""5"": 0.5121075873772836, ""6"": -0.6178735424746336, ""7"": -1.065435564006603, ""8"": 0.8219838618492297, ""9"": -1.255291065978255, ""10"": -0.1867994996872362, ""11"": -0.018175381795381362, ""12"": -0.0395363967400062, ""13"": 0.2710535925969575, ""14"": 0.603650128614567, ""15"": 0.5443114087562577, ""16"": -0.9105131228556038, ""17"": 0.14069720015899634, ""18"": -0.24498941765489235, ""19"": 0.693742921933028, ""20"": 1.12164963775498}"
Paid Loss,11,263,mcclenahan,"{""r"": 0.63806866}",1.0000205266421616,21,0,False,0.005,11,1.0,1.0096,1.0062,,,,,,False,0.00031920851159742184,True,511013.72193844616,-624572.3268136531,936858.4902204797,-1405287.7353307232,
Paid Loss,11,263,skurnick,"{""r"": 0.88451713, ""A"": 223109.73604072, ""n"": 21}",2.925113284388341,21,0,False,0.005,11,1.0,1.0096,1.0062,0.4586476566909392,,,,,False,9.284566546800676,False,174702.36590892076,-213525.11388868093,320287.6708330214,-480431.5062495321,
Incurred Loss,11,263,bondy,,1.017,21,0,False,0.0178,13,1.0,1.0359,1.0174,,0.0061639791658686105,1.0088162759513093,1.0231737716875127,,False,0.7408704645465314,False,1203523.653129276,-1470973.3538246714,2206460.0307369977,-3309690.0461054966,
Incurred Loss,11,263,modified_bondy_double_dev,,1.0339999999999998,21,0,False,0.0178,13,1.0,1.0359,1.0174,,,,,,False,1.4470116469793293,False,1183736.5137644783,-1446789.0723788068,2170183.60856821,-3255275.4128523096,
