period,measure,current_age,actual,cdf,pct_developed,ultimate_cl,ibnr_cl,ultimate_ie,ibnr_ie,ultimate_bf,ibnr_bf
2001,Closed Count,nan,,,,,,700.775874480892,,,
2001,Exposure,nan,316377369.9688,,,,,,,,
2001,Incurred Loss,287.0,3163773.699688,1.0,1.0,3163773.699688,0.0,3163773.699688,0.0,3163773.699688,0.0
2001,Paid Loss,287.0,3042294.6622760003,1.0,1.0,3042294.6622760003,0.0,3163773.699688,121479.03741199987,3042294.6622760003,0.0
2001,Reported Count,287.0,700.7076000000001,1.0,1.0,700.7076000000001,0.0,700.775874480892,0.0682744808918869,700.7076000000001,0.0
2002,Closed Count,nan,,,,,,683.1663101357999,,,
2002,Exposure,nan,322704917.4,,,,,,,,
2002,Incurred Loss,275.0,2327733.756319999,1.003,0.997008973080758,2334716.957588959,6983.201268959791,2904344.2565999995,576610.5002800003,2336420.7281742357,8686.97185423656
2002,Paid Loss,275.0,2199646.2280880003,1.005,0.9950248756218908,2210644.45922844,10998.231140439864,2904344.2565999995,704698.0285119992,2214095.7020014324,14449.473913432123
2002,Reported Count,275.0,651.8824000000001,1.0,1.0,651.8824000000001,0.0,683.1663101357999,31.28391013579983,651.8824000000001,0.0
2003,Closed Count,nan,,,,,,648.4432609290001,,,
2003,Exposure,nan,329159015.7,,,,,,,,
2003,Incurred Loss,263.0,1778091.5758439994,1.0060089999999997,0.9940268924035474,1788776.1281232454,10684.55227924604,2633272.1256,855180.5497560005,1793820.3935809478,15728.817736948356
2003,Paid Loss,263.0,1778091.5758439994,1.0100249999999995,0.990074503106359,1795916.943891835,17825.368047835538,2633272.1256,855180.5497560005,1804228.1101467535,26136.53430275416
2003,Reported Count,263.0,551.5928,1.0,1.0,551.5928,0.0,648.4432609290001,96.85046092900006,551.5928,0.0
2004,Closed Count,nan,,,,,,627.83790652,,,
2004,Exposure,nan,335742196.0,,,,,,,,
2004,Incurred Loss,251.0,1122614.7306000004,1.0090270269999997,0.9910537312099176,1132748.604083724,10133.873483723495,1678710.98,556096.2493999996,1137632.9302479431,15018.19964794268
2004,Paid Loss,251.0,1122614.7306000004,1.0150751249999996,0.98514875930981,1139538.2879906362,16923.557390635833,1678710.98,556096.2493999996,1147545.671413245,24930.940813244644
2004,Reported Count,251.0,642.6452,1.0,1.0,642.6452,0.0,627.83790652,-14.807293479999998,642.6452,0.0
2005,Closed Count,nan,,,,,,623.61426984,,,
2005,Exposure,nan,342457040.0,,,,,,,,
2005,Incurred Loss,239.0,2242149.132116,1.0120541080809995,0.9880894628214536,2269176.240088246,27027.107972245663,1712285.2,-529863.9321160002,2262543.368650875,20394.236534874755
2005,Paid Loss,239.0,2242149.132116,1.0201505006249996,0.9802475217013036,2287329.559604046,45180.42748804577,1712285.2,-529863.9321160002,2275971.008370179,33821.87625417906
2005,Reported Count,239.0,641.3256,1.0,1.0,641.3256,0.0,623.61426984,-17.71133015999999,641.3256,0.0
2006,Closed Count,nan,,,,,,606.7448358759,,,
2006,Exposure,nan,349306180.7,,,,,,,,
2006,Incurred Loss,227.0,1517636.7926600005,1.0150902704052425,0.9851340606395348,1540538.3422381848,22901.549578184266,1746530.9035,228894.1108399995,1543600.61516261,25963.822502609513
2006,Paid Loss,227.0,1462141.0278560002,1.0252512531281244,0.9753706683595064,1499061.921059408,36920.89320340776,1746530.9035,284389.8756439998,1505156.9166986728,43015.88884267249
2006,Reported Count,227.0,497.4892,1.0,1.0,497.4892,0.0,606.7448358759,109.2556358759,497.4892,0.0
2007,Closed Count,nan,,,,,,550.471610298,,,
2007,Exposure,nan,356292304.4,,,,,,,,
2007,Incurred Loss,215.0,4810774.614816,1.018135541216458,0.9821874981450996,4898020.616126086,87246.00131008588,2850338.4352,-1960436.179616,4861546.273480093,50771.658664093775
2007,Paid Loss,215.0,4790693.153152,1.0303775093937648,0.9705180779696582,4936222.47941452,145529.3262625197,2850338.4352,-1940354.7179520004,4874726.608658653,84033.45550665296
2007,Reported Count,215.0,476.3756,1.0,1.0,476.3756,0.0,550.471610298,74.09601029799995,476.3756,0.0
2008,Closed Count,nan,,,,,,444.096979911,,,
2008,Exposure,nan,363418150.5,,,,,,,,
2008,Incurred Loss,203.0,1378427.9395479984,1.0211899478401074,0.9792497488984044,1407636.7556883672,29208.816140368814,2543927.0535,1165499.1139520016,1431215.0646922656,52787.12514426713
2008,Paid Loss,203.0,1378427.9395479984,1.0355293969407335,0.9656896298205556,1427402.6529663969,48974.713418398285,2543927.0535,1165499.1139520016,1465711.0184630866,87283.07891508822
2008,Reported Count,203.0,328.58040000000005,1.0,1.0,328.58040000000005,0.0,444.096979911,115.5165799109999,328.58040000000005,0.0
2009,Closed Count,nan,,,,,,384.4019144995,,,
2009,Exposure,nan,370686513.5,,,,,,,,
2009,Incurred Loss,191.0,1169581.0892560005,1.0242535176836276,0.9763207865387884,1197947.544886707,28366.455630706856,2594805.5945,1425224.5052439997,1231024.0448185122,61442.955562511575
2009,Paid Loss,191.0,1169581.0892560005,1.0407070439254371,0.9608852038015478,1217191.2780307052,47610.1887747047,2594805.5945,1425224.5052439997,1271076.3812594714,101495.29200347098
2009,Reported Count,191.0,321.98240000000004,1.0,1.0,321.98240000000004,0.0,384.4019144995,62.41951449949994,321.98240000000004,0.0
2010,Closed Count,nan,,,,,,314.2013025147,,,
2010,Exposure,nan,378100243.7,,,,,,,,
2010,Incurred Loss,179.0,1277672.0720840006,1.0273262782366783,0.9734005847844353,1312586.0946210013,34914.02253700071,1134300.7311,-143371.3409840006,1307843.8082098481,30171.736125847558
2010,Paid Loss,179.0,1277672.0720840006,1.043308811535251,0.9584889813481774,1333006.53105774,55334.458973739296,1134300.7311,-143371.3409840006,1324758.0508894688,47085.97880546812
